home_team,ground_name,lat_long
Bristol Rvs,Memorial Stadium,"53.76537115968205, -2.371037103353066"
Cambridge,Cledara Abbey Stadium,"52.21214947198208, 0.154165003969731"
Luton,Kenilworth Road,"51.88424223297915, -0.4316244337777313"
Millwall,The Den,"51.486001285928296, -0.05073684995622547"
Northampton,Sixfields Stadium,"52.23517721530304, -0.9334720784812078"
Oldham,Boundary Park,"53.555141877953474, -2.128453732656883"
Oxford,Kassam Stadium,"51.71647547769135, -1.2078771960601045"
Rotherham,The New York Stadium,"53.42701440610984, -1.363023289271658"
Stoke,bet365 Stadium,"52.98826549660399, -2.1761013671474063"
Swansea,Swansea.com Stadium,"51.642746538204825, -3.934571796260737"
Swindon,County Ground,"51.56449866128113, -1.771074127271089"
Wrexham,Racecourse Ground,"53.051957702334704, -3.0038103434581"
Barnsley,Oakwell Stadium,"53.55230275386878, -1.4676503108225212"
Blackburn,Ewood Park,"53.72860676950844, -2.48923073184962"
Bolton,Toughsheet Community Stadium,"53.58058892482987, -2.535632851183499"
Fulham,Craven Cottage,"51.47490157440835, -0.2216238357743288"
Gillingham,Priestfield Stadium ,"51.38426206356679, 0.5607882614832918"
Grimsby,Blundell Park,"53.57024071238212, -0.046534401005325125"
Huddersfield,Kirklees Stadium,"53.65427244796364, -1.76854934678372"
Nottm Forest,City Ground,"52.93993737927712, -1.1328755666151673"
QPR,Loftus Road,"51.509280114042284, -0.23210875132407086"
Sheffield United,Bramall Lane,"53.37038512554297, -1.4708823626725689"
Wimbledon,Plough Lane,"51.43152843133445, -0.1866802926399812"
Wolves,Molineux Stadium,"52.590219080976425, -2.130407916725938"
Birmingham,St Andrew's,"52.47572121359205, -1.868116161473076"
Colchester,Colchester Community Stadium,"51.923330463021706, 0.8978347357048796"
Bournemouth,Dean Court,"50.73524875812352, -1.838284914660306"
Brentford,Brentford Community Stadium,"51.4908005906927, -0.2888321156455011"
Bristol City,Ashton Gate Stadium,"51.4401064410427, -2.6203326538816643"
Bury,Gigg Lane,"53.580509895202894, -2.2948219010849558"
Notts County,Meadow Lane,"52.94266850671417, -1.1371107870912611"
Port Vale,Vale Park,"53.050113052409785, -2.192614622855324"
Reading,Madejski Stadium,"51.42238978742632, -0.9826438561534306"
Walsall,Bescot Stadium,"52.565406510162745, -1.9904029127684624"
Wigan,"The Brick Community Stadium
","53.54768871403694, -2.6540648392196324"
Wycombe,Adams Park Stadium,"51.63055660823766, -0.8002288340351023"
Burnley,Turf Moor,"53.78898741704772, -2.230212906424826"
Crewe,The Mornflake Stadium,"53.08744971654444, -2.4357015971378693"
Norwich,Carrow Road,"52.622115288851255, 1.3091556537821465"
Portsmouth,Fratton Park,"50.79633832315727, -1.063792973954855"
Preston,Deepdale,"53.77219796724916, -2.688402410822881"
Sheffield Weds,Hillsborough Stadium,"53.41145845164757, -1.5006998406356236"
Stockport,Edgeley Park,"53.39964012122444, -2.1663465117318976"
Tranmere,Prenton Park,"53.37377195179938, -3.032476610924637"
Watford,Vicarage Road,"51.64990742050071, -0.4015306749383067"
West Brom,The Hawthorns,"52.509094056942814, -1.963920394935992"
Crystal Palace,Selhurst Park Stadium,"51.39826990771775, -0.08546257181384471"
Peterboro,London Road,"52.564712760575325, -0.24037881110341272"
Lincoln,Sincil Bank Stadium,"53.21833790220992, -0.5408304377289257"
Rochdale,Spotland Stadium,"53.6207830278156, -2.1799721234768463"
Scunthorpe,Attis Arena,"53.586711608125164, -0.695243966350309"
Torquay,Plainmoor,"50.47640061726048, -3.5238796402829524"
Barnet,The Hive Stadium,"51.60261751083239, -0.29175335307658"
Carlisle,Brunton Park,"54.895521608534985, -2.913598651291987"
Cheltenham,Whaddon Road,"51.90617678372747, -2.060167584527382"
Chesterfield,SMH Group Stadium,"53.25353179429952, -1.4257441033451015"
Darlington,Blackwell Meadows,"54.50948166563129, -1.564190189815056"
Exeter,St James Park,"50.73074775298765, -3.5210754748235478"
Hartlepool,Victoria Park,"54.689088608478755, -1.2127619283197637"
Macclesfield,Moss Rose,"53.24282504576953, -2.127125267621659"
Mansfield,Field Mill,"53.13810305013895, -1.2007498674314383"
Plymouth,Home Park Stadium,"50.388110494495905, -4.15087990884903"
Shrewsbury,Croud Meadow,"52.68864331648981, -2.749326625149115"
York,York Community Stadium,"53.98434179591634, -1.0529371168574797"
Blackpool,Bloomfield Road,"53.8048633961631, -3.048149640716545"
Brighton,Falmer Stadium,"50.86156120510329, -0.08367255632282772"
Cardiff,Cardiff City Stadium,"51.47287248681268, -3.20301847014088"
Halifax,The Shay Stadium,"53.71613748954099, -1.8591501808338564"
Hull,MKM Stadium,"53.74625381663592, -0.36767913939369107"
Kidderminster,Aggborough Stadium,"52.38049374595306, -2.242633739813651"
Leyton Orient,Brisbane Road,"51.56015587599486, -0.01261812320082218"
Southend,Roots Hall Stadium,"51.54899951218748, 0.7015998653719"
Bradford,Valley Parade,"53.804242253509, -1.7590318958673419"
Man City,The City of Manchester Stadium,"53.48316198542465, -2.2003752346704113"
Rushden & D,Hayden Rd,"52.29128172103046, -0.5872808774096739"
Coventry,Coventry Building Society Arena,"52.44814447875835, -1.4956116937775954"
Derby,Pride Park Stadium,"52.91493064725692, -1.4472215310919136"
Leicester,Filbert Way,"52.62036252955207, -1.1421805394241997"
Boston,Jakemans Community Stadium,"52.956333772957656, -0.02858320122926802"
Ipswich,Portman Road Stadium,"52.05497240677403, 1.145334434931122"
Sunderland,Stadium of Light,"54.91442881686099, -1.3881545776636477"
West Ham,London Stadium,"51.53867428647439, -0.016463075269204402"
Doncaster,Keepmoat Stadium,"53.50983239923776, -1.1138053490477793"
Yeovil,Huish Park,"50.95023011832407, -2.6739642464621034"
Leeds,Elland Road,"53.777801827132706, -1.5721687162511468"
Milton Keynes Dons,Stadium MK,"52.009639819011326, -0.7335034786517972"
Chester,Deva Stadium,"53.18921586925804, -2.9234969041319054"
Southampton,St Mary's Stadium,"50.90584439941624, -1.39093965172499"
Accrington,The Crown Ground,"53.765457838354, -2.371027938264043"
Hereford,Edgar Street,"52.06074298298887, -2.717719647697488"
Charlton,The Valley,"51.48646460011257, 0.03651976339301127"
Morecambe,Mazuma Stadium,"54.06148163242291, -2.8672276014249016"
Dag and Red,Chigwell Construction Stadium,"51.547800855657506, 0.15993458208322056"
Aldershot,Recreation Ground,"51.248436775483036, -0.754745626152669"
Middlesbrough,Riverside Stadium,"54.578259611601354, -1.2168727997500726"
Newcastle,St James' Park,"54.975549442301855, -1.6216348905453042"
Burton,Pirelli Stadium,"52.821951689674655, -1.6268888636813716"
Stevenage,Lamex Stadium,"51.88983370281285, -0.19365229829243283"
AFC Wimbledon,Plough Lane,"51.43152843133445, -0.1866802926399812"
Crawley Town,Broadfield Stadium,"51.0997000650247, -0.19474242139416584"
Fleetwood Town,Highbury Stadium,"53.916474941402825, -3.0247556257899415"
Newport County,Rodney Parade,"51.58825322009518, -2.987976516290118"
Aston Villa,Villa Park,"52.509118609226974, -1.8848220653252228"
Forest Green,The New Lawn,"51.698984434806526, -2.2379013384916995"
Salford,Peninsula Stadium,"53.51363663124984, -2.2767720729197434"
Barrow,Holker Street,"54.12328179909346, -3.2349381971405315"
Harrogate,The Exercise Stadium,"53.991723554601556, -1.5144861064109276"
Sutton,Gander Green Lane,"51.36761189024782, -0.20429399869807294"
Bromley,Hayes Lane Stadium,"51.390093622191294, 0.021090179573729783"
Chelsea,Stamford Bridge,"51.48172283141681, -0.19094712768778563"
Liverpool,Anfield,"53.43084025110176, -2.9608243787732795"
Tottenham,,"51.60421842990123, -0.06622362288363537"
Man United,Old Trafford,"53.46308346508267, -2.2913298143181278"
Arsenal,Arsenal Stadium,"51.55507893706069, -0.10840362319573983"
Everton,Goodison Park,"53.43884287045332, -2.9662836211766788"
