Team Name,Logo Path
Accrington,Accrington-Stanley-FC-Logo.png
AFC Wimbledon,AFC-Wimbledon-Logo.png
Aldershot,
Arsenal,arsenal-fc-logo.png
Aston Villa,Aston-Villa-FC-Logo.png
Barnet,
Barnsley,Barnsley-FC-Logo.png
Barrow,
Birmingham,Birmingham-City-FC-Logo.png
Blackburn,Blackburn-Rovers-FC-Logo.png
Blackpool,
Bolton,Bolton-Wanderers-FC-Logo.png
Boston,
Bournemouth,afc-bournemouth-logo.png
Bradford,Bradford-City-FC-Logo.png
Brentford,Brentford-FC-Logo.png
Brighton,c-brighton-and-hove-albion-logo.png
Bristol City,Bristol-City-FC-Logo.png
Bristol Rvs,Bristol-Rovers-FC-Logo.png
Bromley,
Burnley,burnley-fc-logo.png
Burton,Burton-Albion-FC-Logo.png
Bury,Bury-FC-Logo.png
Cambridge,Cambridge-United-FC-Logo.png
Cardiff,cardiff-city-fc-logo.png
Carlisle,
Charlton,Charlton-Athletic-FC-Logo.png
Chelsea,chelsea-fc-logo.png
Cheltenham,Cheltenham-Town-Logo.png
Chester,
Chesterfield,
Colchester,Colchester-United-FC-Logo.png
Coventry,Coventry-City-FC-Logo.png
Crawley Town,
Crewe,Crewe-Alexandra-FC-Logo.png
Crystal Palace,crystal-palace-fc-logo.png
Dag and Red,
Darlington,
Derby,Derby-County-FC-Logo.png
Doncaster,Doncaster-Rovers-FC-Logo.png
Everton,everton-fc-logo.png
Exeter,Exeter-City-FC-Logo.png
Fleetwood Town,Fleetwood-Town-FC-Logo.png
Forest Green,Forest-Green-Rovers-FC-Logo.png
Fulham,fulham-fc-logo.png
Gillingham,Gillingham-FC-Logo.png
Grimsby,Grimsby-Badge-FC-Logo.png
Halifax,
Harrogate,
Hartlepool,
Hereford,
Huddersfield,huddersfield-town-afc-logo.png
Hull,Hull-City-AFC-Logo.png
Ipswich,Ipswich-Town-FC-Logo.png
Kidderminster,
Leeds,Leeds-United-FC-Logo.png
Leicester,leicester-city-fc-logo.png
Leyton Orient,
Lincoln,Lincoln-City-FC-Logo.png
Liverpool,liverpool-fc-logo.png
Luton,Luton-Town-FC-Logo.png
Macclesfield,Macclesfield-Town-FC-Logo.png
Man City,manchester-city-fc-logo.png
Man United,manchester-united-fc-logo.png
Mansfield,Mansfield-Town-FC-Logo.png
Middlesbrough,Middlesbrough-FC-Logo.png
Millwall,Millwall-FC-Logo.png
Milton Keynes Dons,
Morecambe,Morecambe-FC-Logo.png
Newcastle,newcastle-united-fc-logo.png
Newport County,Newport-County-AFC-Logo.png
Northampton,Northampton-Town-FC_Logo.png
Norwich,Norwich-City-FC-Logo.png
Nottm Forest,Nottingham-Forest-FC-Logo.png
Notts County,Notts-County-FC-Logo.png
Oldham,Oldham-Athletic-AFC-Logo.png
Oxford,Oxford-United-FC-Logo.png
Peterboro,Peterborough-United-FC-Logo.png
Plymouth,Plymouth-Argyle-FC-Logo.png
Port Vale,Port-Vale-FC-Logo.png
Portsmouth,Portsmouth-FC-Logo.png
Preston,Preston-North-End-FC-Logo.png
QPR,Queens-Park-Rangers-FC-Logo.png
Reading,Reading-FC-Logo.png
Rochdale,Rochdale-Town_AFC-Logo.png
Rotherham,Rotherham-United-FC.png
Rushden & D,
Salford,Salford-City-FC-Logo.png
Scunthorpe,Scunthorpe-United-FC-Logo.png
Sheffield United,Sheffield-United-FC-Logo.png
Sheffield Weds,Sheffield-Wednesday-FC-Logo.png
Shrewsbury,Shrewsbury-Town-FC-Logo.png
Southampton,Southampton-FC-Logo.png
Southend,Southend-United-Logo.png
Stevenage,Stevenage-FC-Badge.png
Stockport,
Stoke,Stoke-City-FC-Logo.png
Sunderland,Sunderland-AFC-Logo.png
Sutton,
Swansea,swansea-city-afc-logo.png
Swindon,Swindon-Town-FC-Logo.png
Torquay,
Tottenham,tottenham-hotspur-fc-logo.png
Tranmere,Tranmere-Rovers-FC-Logo.png
Walsall,Walsall-FC-Logo.png
Watford,Watford-FC-Logo.png
West Brom,West-Bromwich-Albion-FC-Logo.png
West Ham,west-ham-united-fc-logo.png
Wigan,Wigan-Athletic-FC-Logo.png
Wimbledon,AFC-Wimbledon-Logo.png
Wolves,wolverhampton-wanderers-fc-logo.png
Wrexham,
Wycombe,Wycombe-Wanderers-FC-Logo.png
Yeovil,Yeovil-Town-FC-Logo.png
York,